Date,XRT,VTI,TIP,HYG
2022-02-24,-23.99353825225109,9.24390572780267,5.472467007064585,2.447414658578817
2022-02-25,-21.582634814905067,12.121542488950986,4.090067424077093,1.873163857396476
2022-02-26,-21.582634814905067,12.121542488950986,4.090067424077093,1.873163857396476
2022-02-27,-21.582634814905067,12.121542488950986,4.090067424077093,1.873163857396476
2022-02-28,-19.666810953517345,9.194819598076108,6.251547459041995,1.0903823104326138
2022-03-01,-21.261995395832724,8.512003811394141,6.578943234542911,1.9746368052533714
2022-03-02,-16.090991544617506,12.18733679329178,6.156834191945859,1.3257608101050589
2022-03-03,-14.28944852882913,13.122510034381364,6.438247328340818,1.6357011327492899
2022-03-04,-17.57895255674069,10.006077824950355,7.140674487833176,2.9909084483652926
2022-03-05,-17.57895255674069,10.006077824950355,7.140674487833176,2.9909084483652926
2022-03-06,-17.57895255674069,10.006077824950355,7.140674487833176,2.9909084483652926
2022-03-07,-19.8293508271836,7.137454828149181,8.315588072407465,3.837138632813031
2022-03-08,-19.517982067581407,4.906014005869608,8.160760350708852,4.599479071593738
2022-03-09,-19.6957131150033,7.0525224395535435,6.604060555775382,4.3133107363475975
2022-03-10,-19.142638024009983,5.196830941115782,6.277815712465884,5.094611501525293
2022-03-11,-19.923370698557953,3.5623987970542226,7.87484012040105,5.356361586043712
2022-03-12,-19.923370698557953,3.5623987970542226,7.87484012040105,5.356361586043712
2022-03-13,-19.923370698557953,3.5623987970542226,7.87484012040105,5.356361586043712
2022-03-14,-20.830998467502425,1.8294546760513564,6.368017032852946,6.694909699426265
2022-03-15,-15.777326827534566,4.374146793576483,5.354393108647049,5.9948350025030965
2022-03-16,-12.442969672778958,6.580159697354637,4.836429038740686,4.511072934025107
2022-03-17,-11.842738457924673,10.00887874963503,7.024712144790879,4.222040915594083
2022-03-18,-8.095625470487477,11.15293770650474,6.491339724126344,3.836562640206176
2022-03-19,-8.095625470487477,11.15293770650474,6.491339724126344,3.836562640206176
2022-03-20,-8.095625470487477,11.15293770650474,6.491339724126344,3.836562640206176
2022-03-21,-10.665592642569454,10.451995414459002,5.04548164624623,4.855454384453051
2022-03-22,-6.595513304466527,13.094879879639553,4.344230585775843,4.19923767756395
2022-03-23,-11.345666792010444,12.48633726989421,5.3780534378158995,5.009772577128768
2022-03-24,-10.574536814558277,13.250833448347432,4.803551863790223,5.064138308360311
2022-03-25,-12.602364278151656,11.905709932443242,4.0623622578823015,6.018337462381574
2022-03-26,-12.602364278151656,11.905709932443242,4.0623622578823015,6.018337462381574
2022-03-27,-12.602364278151656,11.905709932443242,4.0623622578823015,6.018337462381574
2022-03-28,-12.753477192031914,13.163486358154852,4.226934830487883,5.526418542211509
2022-03-29,-8.668623077528403,14.91243356277774,4.033271795753213,4.316533368753639
2022-03-30,-13.219729885556264,13.291209749388155,4.518577344456576,4.451911873193537
2022-03-31,-16.762837034761823,10.199844067306874,3.8853170657610736,4.755201924332608
2022-04-01,-16.448027336374395,9.365250751347865,3.609963406633687,4.740308059569109
2022-04-02,-16.448027336374395,9.365250751347865,3.609963406633687,4.740308059569109
2022-04-03,-16.448027336374395,9.365250751347865,3.609963406633687,4.740308059569109
2022-04-04,-15.471265961821034,10.251755267569829,3.476320874813399,3.9754528033297265
2022-04-05,-16.367833727372805,8.732394712773473,2.6620325793898836,4.9794592980633485
2022-04-06,-14.877266644155974,6.861909894762719,1.9802674605971626,4.991887208482748
2022-04-07,-14.963576244797839,6.620274751007527,2.065376020807075,5.155574937236551
2022-04-08,-12.858783221098191,6.259377598663174,2.234044048405459,5.489773950484389
2022-04-09,-12.858783221098191,6.259377598663174,2.234044048405459,5.489773950484389
2022-04-10,-12.858783221098191,6.259377598663174,2.234044048405459,5.489773950484389
