Date,equity
2007-09-22,1071560.2180815558
2007-09-23,1071560.2180815558
2007-09-24,1071970.1887876713
2007-09-25,1066030.6113269
2007-09-26,1071234.7352237874
2007-09-27,1074624.035000981
2007-09-28,1066877.187882246
2007-09-29,1066877.187882246
2007-09-30,1066877.187882246
2007-10-01,1076865.9186223042
2007-10-02,1072716.0879949788
2007-10-03,1068571.1804632596
2007-10-04,1072619.497123811
2007-10-05,1078442.4200958102
2007-10-06,1078442.4200958102
2007-10-07,1078442.4200958102
2007-10-08,1071966.5670051463
2007-10-09,1085167.9819734949
2007-10-10,1088677.1679888314
2007-10-11,1091505.5887285066
2007-10-12,1094740.181334394
2007-10-13,1094740.181334394
2007-10-14,1094740.181334394
2007-10-15,1093904.381170994
2007-10-16,1092397.3829673415
2007-10-17,1092342.4518010463
2007-10-18,1090669.388536408
2007-10-19,1061631.8626050001
2007-10-20,1061631.8626050001
2007-10-21,1061631.8626050001
2007-10-22,1062379.1092542638
2007-10-23,1068753.8370482973
2007-10-24,1069719.9501991111
2007-10-25,1084764.9610269899
2007-10-26,1097632.5264647459
2007-10-27,1097632.5264647459
2007-10-28,1097632.5264647459
2007-10-29,1102779.9793595788
2007-10-30,1089158.9153729798
2007-10-31,1094450.3610088795
2007-11-01,1071252.8523357227
2007-11-02,1075790.5958599194
2007-11-03,1075790.5958599194
2007-11-04,1075790.5958599194
2007-11-05,1066284.8650920547
2007-11-06,1079363.9028612408
2007-11-07,1055274.1039629634
2007-11-08,1053890.9211934574
2007-11-09,1031410.9868891365
2007-11-10,1031410.9868891365
2007-11-11,1031410.9868891365
2007-11-12,1026606.8731356125
2007-11-13,1053880.4860063058
2007-11-14,1043840.808413459
2007-11-15,1031532.2247785685
2007-11-16,1031513.1568746481
2007-11-17,1031513.1568746481
2007-11-18,1031513.1568746481
2007-11-19,1012697.575678624
2007-11-20,1013949.0663247787
2007-11-21,1000605.8893301145
2007-11-22,1000605.8893301145
2007-11-23,1016047.9066784206
2007-11-24,1016047.9066784206
2007-11-25,1016047.9066784206
2007-11-26,994888.3054114318
2007-11-27,1012733.8121820462
2007-11-28,1044697.9374353341
2007-11-29,1039548.8164678985
2007-11-30,1042311.3224093106
2007-12-01,1042311.3224093106
2007-12-02,1042311.3224093106
2007-12-03,1045740.7877934847
2007-12-04,1044220.8340871807
2007-12-05,1059342.573692569
2007-12-06,1066799.7226099572
2007-12-07,1070261.8500838396
2007-12-08,1070261.8500838396
2007-12-09,1070261.8500838396
2007-12-10,1075846.1862626504
2007-12-11,1054776.9223437821
2007-12-12,1067300.1459048786
2007-12-13,1075004.6532921852
2007-12-14,1058216.6210950948
2007-12-15,1058216.6210950948
2007-12-16,1058216.6210950948
2007-12-17,1046196.8065027226
2007-12-18,1051065.5798301885
2007-12-19,1056477.6276944561
2007-12-20,1060912.8356613978
2007-12-21,1079254.0103041427
2007-12-22,1079254.0103041427
2007-12-23,1079254.0103041427
2007-12-24,1082153.5534119962
2007-12-25,1082153.5534119962
2007-12-26,1083116.4942227623
2007-12-27,1072652.744761712
2007-12-28,1079620.1004587952
2007-12-29,1079620.1004587952
2007-12-30,1079620.1004587952
2007-12-31,1074096.6006467107
2008-01-01,1074096.6006467107
2008-01-02,1056970.8587182944
2008-01-03,1051473.751360115
2008-01-04,1024185.3021626156
2008-01-05,1024185.3021626156
2008-01-06,1024185.3021626156
2008-01-07,1019636.4398141807
2008-01-08,998402.3489938263
2008-01-09,1003527.2582948167
2008-01-10,1017584.8074333502
2008-01-11,996792.305594144
2008-01-12,996792.305594144
2008-01-13,996792.305594144
2008-01-14,1007723.6933139279
2008-01-15,987970.3403060527
2008-01-16,985026.6978515089
2008-01-17,963755.4504994611
2008-01-18,960510.1896067418
2008-01-19,960510.1896067418
2008-01-20,960510.1896067418
2008-01-21,960510.1896067418
2008-01-22,971608.0430130711
2008-01-23,1002623.5959682689
2008-01-24,1010549.3226518452
2008-01-25,997878.1691169656
2008-01-26,997878.1691169656
2008-01-27,997878.1691169656
2008-01-28,1013510.2710267195
2008-01-29,1019589.1845101267
2008-01-30,1018435.6857213697
2008-01-31,1038450.8255597136
2008-02-01,1055439.0395112976
2008-02-02,1055439.0395112976
2008-02-03,1055439.0395112976
2008-02-04,1039308.5971430017
2008-02-05,1012112.3636020167
2008-02-06,1004179.5677093706
2008-02-07,1012817.3401919913
2008-02-08,1005847.8984468392
2008-02-09,1005847.8984468392
2008-02-10,1005847.8984468392
2008-02-11,1018553.4010240731
2008-02-12,1023378.8099809127
2008-02-13,1041656.9844642895
2008-02-14,1026288.1858961149
2008-02-15,1024775.3408615951
2008-02-16,1024775.3408615951
2008-02-17,1024775.3408615951
2008-02-18,1024775.3408615951
2008-02-19,1019368.9141004928
2008-02-20,1025768.7601516598
2008-02-21,1014336.6368001096
2008-02-22,1024836.4998492098
2008-02-23,1024836.4998492098
2008-02-24,1024836.4998492098
2008-02-25,1034036.9260291306
2008-02-26,1041652.897701396
2008-02-27,1041867.8637049774
2008-02-28,1026738.6939494734
2008-02-29,1001884.8061755141
2008-03-01,1001884.8061755141
2008-03-02,1001884.8061755141
2008-03-03,1005870.5220354203
2008-03-04,1001868.2570880943
2008-03-05,1008795.3759401527
2008-03-06,989547.5705387351
2008-03-07,981658.7722470226
2008-03-08,981658.7722470226
2008-03-09,981658.7722470226
2008-03-10,969057.2574096655
2008-03-11,1000224.549302951
2008-03-12,994328.4528812614
2008-03-13,997901.7320928429
2008-03-14,983647.5191056133
2008-03-15,983647.5191056133
2008-03-16,983647.5191056133
2008-03-17,976152.0258847619
2008-03-18,1020720.2411055347
2008-03-19,993633.6847073834
2008-03-20,1010503.5663309918
2008-03-21,1010503.5663309918
2008-03-22,1010503.5663309918
2008-03-23,1010503.5663309918
2008-03-24,1041230.7168877464
2008-03-25,1040866.5183875347
2008-03-26,1024875.8850624204
2008-03-27,1015165.9266252609
2008-03-28,1005263.8514196917
2008-03-29,1005263.8514196917
2008-03-30,1005263.8514196917
2008-03-31,1015697.2313550892
2008-04-01,1050052.428765709
2008-04-02,1052386.3210849115
2008-04-03,1051696.830480906
2008-04-04,1051309.4021095037
2008-04-05,1051309.4021095037
2008-04-06,1051309.4021095037
2008-04-07,1046056.1036528265
2008-04-08,1044498.3949430905
2008-04-09,1027955.9616649987
2008-04-10,1035577.4004592084
2008-04-11,1005694.8814042029
2008-04-12,1005694.8814042029
2008-04-13,1005694.8814042029
2008-04-14,1002392.0450431606
2008-04-15,1004076.0796952632
2008-04-16,1029197.817591038
2008-04-17,1025481.9487267864
2008-04-18,1050695.2264648296
2008-04-19,1050695.2264648296
2008-04-20,1050695.2264648296
2008-04-21,1048912.7887874118
2008-04-22,1033013.3131148776
2008-04-23,1033124.7442036598
2008-04-24,1043614.706685319
2008-04-25,1056134.8097990896
2008-04-26,1056134.8097990896
2008-04-27,1056134.8097990896
2008-04-28,1058509.8048623267
2008-04-29,1057830.3171801656
2008-04-30,1051078.9777656144
2008-05-01,1053872.3320133495
2008-05-02,1065840.2146396728
2008-05-03,1065840.2146396728
2008-05-04,1065840.2146396728
2008-05-05,1064611.8438141365
2008-05-06,1076207.7846773453
2008-05-07,1060677.5289021705
2008-05-08,1069669.7462246483
2008-05-09,1068122.2598855686
2008-05-10,1068122.2598855686
2008-05-11,1068122.2598855686
2008-05-12,1073580.4842605405
2008-05-13,1077636.7231022895
2008-05-14,1076271.3431229538
2008-05-15,1084992.4446253246
2008-05-16,1100736.2462750506
2008-05-17,1100736.2462750506
2008-05-18,1100736.2462750506
2008-05-19,1109204.639874462
2008-05-20,1109842.2436491514
2008-05-21,1098684.9497298808
2008-05-22,1099400.1249321692
2008-05-23,1085585.3428301858
2008-05-24,1085585.3428301858
2008-05-25,1085585.3428301858
2008-05-26,1085585.3428301858
2008-05-27,1086124.7766816674
2008-05-28,1094549.7029213845
2008-05-29,1089909.5889361575
2008-05-30,1093529.4428665298
2008-05-31,1093529.4428665298
2008-06-01,1093529.4428665298
2008-06-02,1089845.5998559163
2008-06-03,1080775.3919103353
2008-06-04,1079501.6021515778
2008-06-05,1106236.2393090345
2008-06-06,1080217.5241127992
2008-06-07,1080217.5241127992
2008-06-08,1080217.5241127992
2008-06-09,1097692.412087123
2008-06-10,1088980.9557644825
2008-06-11,1088917.5818452477
2008-06-12,1084369.6749448301
2008-06-13,1091689.4324216696
2008-06-14,1091689.4324216696
2008-06-15,1091689.4324216696
2008-06-16,1089462.3814106968
2008-06-17,1096325.2253454458
2008-06-18,1092239.4222245917
2008-06-19,1085130.248664488
2008-06-20,1074409.0425980173
2008-06-21,1074409.0425980173
2008-06-22,1074409.0425980173
2008-06-23,1091560.0151528637
2008-06-24,1082869.6198557462
2008-06-25,1093886.267745532
2008-06-26,1069324.8351486735
2008-06-27,1065713.7301241206
2008-06-28,1065713.7301241206
2008-06-29,1065713.7301241206
2008-06-30,1074628.0312635638
2008-07-01,1074025.71996541
2008-07-02,1069734.9772978695
2008-07-03,1071623.646054675
2008-07-04,1071623.646054675
2008-07-05,1071623.646054675
2008-07-06,1071623.646054675
2008-07-07,1073534.2694017831
2008-07-08,1094680.1839542312
2008-07-09,1091905.1578069932
2008-07-10,1098915.876485229
2008-07-11,1082569.4100755823
2008-07-12,1082569.4100755823
2008-07-13,1082569.4100755823
2008-07-14,1086659.5713842865
2008-07-15,1088278.0745719348
2008-07-16,1098994.9390701123
2008-07-17,1105428.6011591528
2008-07-18,1095937.8401011724
2008-07-19,1095937.8401011724
2008-07-20,1095937.8401011724
2008-07-21,1085031.9464965772
2008-07-22,1102048.571749434
2008-07-23,1108335.4237282122
2008-07-24,1104376.7085542227
2008-07-25,1104650.0718546545
2008-07-26,1104650.0718546545
2008-07-27,1104650.0718546545
2008-07-28,1095458.1601213051
2008-07-29,1113840.1580632832
