Date,equity
2007-09-22,1071560.4308785596
2007-09-23,1071560.4308785596
2007-09-24,1071970.211758876
2007-09-25,1066030.7717015063
2007-09-26,1071235.19608389
2007-09-27,1074624.534609895
2007-09-28,1066877.1945538889
2007-09-29,1066877.1945538889
2007-09-30,1066877.1945538889
2007-10-01,1076866.0233843783
2007-10-02,1072716.541450004
2007-10-03,1068571.1103817066
2007-10-04,1072619.7289389311
2007-10-05,1078442.803393711
2007-10-06,1078442.803393711
2007-10-07,1078442.803393711
2007-10-08,1071966.8700237772
2007-10-09,1085168.0257049934
2007-10-10,1088677.2349333388
2007-10-11,1091505.7589987242
2007-10-12,1094740.352522297
2007-10-13,1094740.352522297
2007-10-14,1094740.352522297
2007-10-15,1093904.7510323965
2007-10-16,1092397.4990439154
2007-10-17,1092342.5711493616
2007-10-18,1090669.3735518474
2007-10-19,1061632.0230309526
2007-10-20,1061632.0230309526
2007-10-21,1061632.0230309526
2007-10-22,1062379.7499247591
2007-10-23,1068754.0886885044
2007-10-24,1069720.1340695582
2007-10-25,1084765.0171012788
2007-10-26,1097632.5373265957
2007-10-27,1097632.5373265957
2007-10-28,1097632.5373265957
2007-10-29,1102780.126445121
2007-10-30,1089159.0186458002
2007-10-31,1094450.6490742008
2007-11-01,1071252.742183829
2007-11-02,1075790.5966322024
2007-11-03,1075790.5966322024
2007-11-04,1075790.5966322024
2007-11-05,1066284.8280920133
2007-11-06,1079363.7922951407
2007-11-07,1055274.2489511282
2007-11-08,1053891.2125397117
2007-11-09,1031411.2406091861
2007-11-10,1031411.2406091861
2007-11-11,1031411.2406091861
2007-11-12,1026606.5815271144
2007-11-13,1053880.5579115846
2007-11-14,1043841.170264307
2007-11-15,1031532.154136091
2007-11-16,1031513.6682895086
2007-11-17,1031513.6682895086
2007-11-18,1031513.6682895086
2007-11-19,1012697.612670972
2007-11-20,1013948.6350389756
2007-11-21,1000606.1066812144
2007-11-22,1000606.1066812144
2007-11-23,1016047.5101541366
2007-11-24,1016047.5101541366
2007-11-25,1016047.5101541366
2007-11-26,994888.1628051468
2007-11-27,1012733.963353469
2007-11-28,1044698.3042809395
2007-11-29,1039548.855096456
2007-11-30,1042310.9837468591
2007-12-01,1042310.9837468591
2007-12-02,1042310.9837468591
2007-12-03,1045740.8199085185
2007-12-04,1044220.9114353842
2007-12-05,1059342.8211402576
2007-12-06,1066799.8841684144
2007-12-07,1070262.0152944748
2007-12-08,1070262.0152944748
2007-12-09,1070262.0152944748
2007-12-10,1075845.975038032
2007-12-11,1054777.260430287
2007-12-12,1067300.1988472147
2007-12-13,1075004.9040142158
2007-12-14,1058216.5484103689
2007-12-15,1058216.5484103689
2007-12-16,1058216.5484103689
2007-12-17,1046197.0176666784
2007-12-18,1051065.6314924539
2007-12-19,1056477.5755209578
2007-12-20,1060912.9834537376
2007-12-21,1079254.1858528452
2007-12-22,1079254.1858528452
2007-12-23,1079254.1858528452
2007-12-24,1082153.766178831
2007-12-25,1082153.766178831
2007-12-26,1083115.9400729504
2007-12-27,1072653.0401161832
2007-12-28,1079619.967323405
2007-12-29,1079619.967323405
2007-12-30,1079619.967323405
2007-12-31,1074096.8085752446
2008-01-01,1074096.8085752446
2008-01-02,1056970.7054199115
2008-01-03,1051474.045555156
2008-01-04,1024185.6384808688
2008-01-05,1024185.6384808688
2008-01-06,1024185.6384808688
2008-01-07,1019636.356797637
2008-01-08,998402.1501537833
2008-01-09,1003527.5501889096
2008-01-10,1017584.5619738054
2008-01-11,996792.4438852653
2008-01-12,996792.4438852653
2008-01-13,996792.4438852653
2008-01-14,1007723.4565811672
2008-01-15,987970.1432007182
2008-01-16,985026.42339968
2008-01-17,963755.4013130958
2008-01-18,960510.3739727773
2008-01-19,960510.3739727773
2008-01-20,960510.3739727773
2008-01-21,960510.3739727773
2008-01-22,971607.9902458205
2008-01-23,1002623.468772758
2008-01-24,1010549.2325936643
2008-01-25,997877.8882458864
2008-01-26,997877.8882458864
2008-01-27,997877.8882458864
2008-01-28,1013510.2589544726
2008-01-29,1019589.2094905043
2008-01-30,1018435.6296511553
2008-01-31,1038450.9757856971
2008-02-01,1055439.2844589194
2008-02-02,1055439.2844589194
2008-02-03,1055439.2844589194
2008-02-04,1039308.780142649
2008-02-05,1012112.4697838529
2008-02-06,1004179.6124614556
2008-02-07,1012817.691039956
2008-02-08,1005847.8531856668
2008-02-09,1005847.8531856668
2008-02-10,1005847.8531856668
2008-02-11,1018553.1223158996
2008-02-12,1023379.0882877622
2008-02-13,1041657.0025066568
2008-02-14,1026288.3127449404
2008-02-15,1024775.3711388046
2008-02-16,1024775.3711388046
2008-02-17,1024775.3711388046
2008-02-18,1024775.3711388046
2008-02-19,1019368.7573604519
2008-02-20,1025768.8286195825
2008-02-21,1014336.2310965933
2008-02-22,1024836.6122102509
2008-02-23,1024836.6122102509
2008-02-24,1024836.6122102509
2008-02-25,1034036.9753992152
2008-02-26,1041653.1193734264
2008-02-27,1041868.2855211229
2008-02-28,1026738.5900069313
2008-02-29,1001884.7379262137
2008-03-01,1001884.7379262137
2008-03-02,1001884.7379262137
2008-03-03,1005870.5648450687
2008-03-04,1001868.4638201809
2008-03-05,1008795.3146932514
2008-03-06,989547.5383908418
2008-03-07,981658.6856765157
2008-03-08,981658.6856765157
2008-03-09,981658.6856765157
2008-03-10,969057.2865614998
2008-03-11,1000224.4671162661
2008-03-12,994328.5153402728
2008-03-13,997901.6990939437
2008-03-14,983647.4858628357
2008-03-15,983647.4858628357
2008-03-16,983647.4858628357
2008-03-17,976152.1523940932
2008-03-18,1020720.357777566
2008-03-19,993633.5568802248
2008-03-20,1010503.8127132402
2008-03-21,1010503.8127132402
2008-03-22,1010503.8127132402
2008-03-23,1010503.8127132402
2008-03-24,1041230.8987681369
2008-03-25,1040866.5576295205
2008-03-26,1024875.7430244202
2008-03-27,1015165.9280384071
2008-03-28,1005263.7510796497
2008-03-29,1005263.7510796497
2008-03-30,1005263.7510796497
2008-03-31,1015697.251129956
2008-04-01,1050052.7418778099
2008-04-02,1052386.2277150038
2008-04-03,1051697.2594501982
2008-04-04,1051309.8409531636
2008-04-05,1051309.8409531636
2008-04-06,1051309.8409531636
2008-04-07,1046056.1929234428
2008-04-08,1044498.4056283089
2008-04-09,1027956.202727969
2008-04-10,1035577.7887443984
2008-04-11,1005694.9580092895
2008-04-12,1005694.9580092895
2008-04-13,1005694.9580092895
2008-04-14,1002391.855462967
2008-04-15,1004076.4577607436
2008-04-16,1029198.3604875096
2008-04-17,1025482.175291171
2008-04-18,1050695.3912642696
2008-04-19,1050695.3912642696
2008-04-20,1050695.3912642696
2008-04-21,1048913.211082826
2008-04-22,1033013.5656280159
2008-04-23,1033125.1962473545
2008-04-24,1043614.9866551956
2008-04-25,1056134.966274687
2008-04-26,1056134.966274687
2008-04-27,1056134.966274687
2008-04-28,1058509.8853408252
2008-04-29,1057830.1744974155
2008-04-30,1051078.6733625275
2008-05-01,1053871.8315233593
2008-05-02,1065839.9294652727
2008-05-03,1065839.9294652727
2008-05-04,1065839.9294652727
2008-05-05,1064611.8810896638
2008-05-06,1076207.391187217
2008-05-07,1060676.849342476
2008-05-08,1069669.866803382
2008-05-09,1068121.779330993
2008-05-10,1068121.779330993
2008-05-11,1068121.779330993
2008-05-12,1073580.3871843396
2008-05-13,1077635.9981039804
2008-05-14,1076270.906554083
2008-05-15,1084991.916425019
2008-05-16,1100736.0581442388
2008-05-17,1100736.0581442388
2008-05-18,1100736.0581442388
2008-05-19,1109204.0928998843
2008-05-20,1109841.9959724545
2008-05-21,1098684.55500007
2008-05-22,1099399.8864015753
2008-05-23,1085584.8753080834
2008-05-24,1085584.8753080834
2008-05-25,1085584.8753080834
2008-05-26,1085584.8753080834
2008-05-27,1086124.4766365224
2008-05-28,1094549.109738182
2008-05-29,1089908.9221079387
2008-05-30,1093529.0566184411
2008-05-31,1093529.0566184411
2008-06-01,1093529.0566184411
2008-06-02,1089845.0709880895
2008-06-03,1080774.8245723608
2008-06-04,1079501.085550781
2008-06-05,1106235.9445465917
2008-06-06,1080217.566547129
2008-06-07,1080217.566547129
2008-06-08,1080217.566547129
2008-06-09,1097691.7192741686
2008-06-10,1088980.6873958977
2008-06-11,1088917.2320781467
2008-06-12,1084369.5690352502
2008-06-13,1091688.7525110114
2008-06-14,1091688.7525110114
2008-06-15,1091688.7525110114
2008-06-16,1089461.7971918357
2008-06-17,1096324.6448761756
2008-06-18,1092239.1658024953
2008-06-19,1085129.5585574612
2008-06-20,1074408.6420432152
2008-06-21,1074408.6420432152
2008-06-22,1074408.6420432152
2008-06-23,1091559.5462516784
2008-06-24,1082869.4432717466
2008-06-25,1093885.597944602
2008-06-26,1069324.0263643814
2008-06-27,1065713.2456163783
2008-06-28,1065713.2456163783
2008-06-29,1065713.2456163783
2008-06-30,1074627.8063715715
2008-07-01,1074025.0674788686
2008-07-02,1069734.5223956723
2008-07-03,1071623.2969633366
2008-07-04,1071623.2969633366
2008-07-05,1071623.2969633366
2008-07-06,1071623.2969633366
2008-07-07,1073534.3161879387
2008-07-08,1094679.9997762726
2008-07-09,1091904.5926311326
2008-07-10,1098915.3148659705
2008-07-11,1082569.2209351384
2008-07-12,1082569.2209351384
2008-07-13,1082569.2209351384
2008-07-14,1086659.50189866
2008-07-15,1088277.517934331
2008-07-16,1098994.5880917832
2008-07-17,1105428.3291153715
2008-07-18,1095937.6275045006
2008-07-19,1095937.6275045006
2008-07-20,1095937.6275045006
2008-07-21,1085031.6929688663
2008-07-22,1102048.084817435
2008-07-23,1108334.8459138058
2008-07-24,1104376.4624991727
2008-07-25,1104649.773141322
2008-07-26,1104649.773141322
2008-07-27,1104649.773141322
2008-07-28,1095457.97217648
2008-07-29,1113840.0572391707
2008-07-30,1120143.3912467218
2008-07-31,1102989.8358393344
2008-08-01,1094947.0952639163
2008-08-02,1094947.0952639163
2008-08-03,1094947.0952639163
2008-08-04,1097878.4564130441
2008-08-05,1131324.8648421778
2008-08-06,1141963.549091374
2008-08-07,1121048.3396793685
2008-08-08,1158888.9423334696
2008-08-09,1158888.9423334696
2008-08-10,1158888.9423334696
2008-08-11,1174169.4575761883
2008-08-12,1166050.9120531396
2008-08-13,1156850.5106389755
2008-08-14,1167063.4850155087
2008-08-15,1175277.6420168378
2008-08-16,1175277.6420168378
2008-08-17,1175277.6420168378
2008-08-18,1159278.6215595326
2008-08-19,1140516.0686592783
2008-08-20,1133613.906949578
2008-08-21,1136063.581197155
2008-08-22,1157615.8614430667
2008-08-23,1157615.8614430667
2008-08-24,1157615.8614430667
2008-08-25,1135820.7053709973
2008-08-26,1137149.4057467736
2008-08-27,1143015.5852127518
2008-08-28,1162700.0131076404
2008-08-29,1145397.821427806
2008-08-30,1145397.821427806
2008-08-31,1145016.0221539969
2008-09-01,1145016.0221539969
2008-09-02,1156440.7967709028
2008-09-03,1155148.702184109
2008-09-04,1116113.1899503823
2008-09-05,1117056.4225181146
2008-09-06,1117056.4225181146
2008-09-07,1117056.4225181146
2008-09-08,1151260.3256651324
2008-09-09,1123397.7167539166
2008-09-10,1119971.2804501064
2008-09-11,1141433.8211107794
2008-09-12,1139931.9555612241
2008-09-13,1139931.9555612241
2008-09-14,1139931.9555612241
2008-09-15,1097858.485348858
2008-09-16,1103176.3364323047
2008-09-17,1062723.1833127176
2008-09-18,1087279.8976390606
2008-09-19,1109964.1403400516
2008-09-20,1109964.1403400516
2008-09-21,1109964.1403400516
2008-09-22,1072426.0006092913
2008-09-23,1053022.476387245
2008-09-24,1050008.8589898876
2008-09-25,1063593.640486869
2008-09-26,1066738.2310801826
2008-09-27,1066738.2310801826
2008-09-28,1066738.2310801826
2008-09-29,1013102.6085320711
2008-09-30,1028269.559391361
2008-10-01,1035417.2527434026
2008-10-02,1029754.9026524038
2008-10-03,1014583.3692121846
2008-10-04,1014583.3692121846
2008-10-05,1014583.3692121846
2008-10-06,980874.3908631735
2008-10-07,953436.2134448355
2008-10-08,931841.9750094921
2008-10-09,868000.0523120068
2008-10-10,852630.8044849373
2008-10-11,852630.8044849373
2008-10-12,852630.8044849373
2008-10-13,923892.3838212749
2008-10-14,934219.9463524257
2008-10-15,872482.3138537708
2008-10-16,899455.9555512281
2008-10-17,901094.449795058
2008-10-18,901094.449795058
2008-10-19,901094.449795058
2008-10-20,922926.4860136041
2008-10-21,917236.2802462719
2008-10-22,898707.6630829228
2008-10-23,890204.8742162549
2008-10-24,866396.5887717513
2008-10-25,866396.5887717513
2008-10-26,866396.5887717513
2008-10-27,836834.9575651991
2008-10-28,892009.6473174746
2008-10-29,880301.1861106935
2008-10-30,909160.3181063029
2008-10-31,928867.4658102748
2008-11-01,928867.4658102748
2008-11-02,928867.4658102748
2008-11-03,914687.4788622594
2008-11-04,952831.7499534247
2008-11-05,902806.8008715432
2008-11-06,856160.9085904842
2008-11-07,872167.2936171892
2008-11-08,872167.2936171892
2008-11-09,872167.2936171892
2008-11-10,862424.1682226381
2008-11-11,839762.5498910672
2008-11-12,796274.1678242119
2008-11-13,847757.1903854742
2008-11-14,809132.3018258489
2008-11-15,809132.3018258489
2008-11-16,809132.3018258489
2008-11-17,788331.1897110128
2008-11-18,790953.1807302083
2008-11-19,742352.6381825687
2008-11-20,710587.5804527602
2008-11-21,746390.7821037399
2008-11-22,746390.7821037399
2008-11-23,746390.7821037399
2008-11-24,790549.7647434211
2008-11-25,801306.1327592146
2008-11-26,833724.0067125943
2008-11-27,833724.0067125943
2008-11-28,844378.142566529
2008-11-29,844378.142566529
2008-11-30,843533.7644239624
2008-12-01,762463.973788837
2008-12-02,793467.6648478983
2008-12-03,814937.887968759
2008-12-04,798694.390874917
2008-12-05,828979.1878050762
2008-12-06,828979.1878050762
2008-12-07,828979.1878050762
2008-12-08,853627.3818281807
2008-12-09,832656.1615133219
2008-12-10,831856.7581342704
2008-12-11,805272.109194796
2008-12-12,812490.9170707533
