Date,XRT,VTI,TIP,HYG
2007-07-11,-1.6218949946179007,22.529113069040708,3.5060501349106543,1.9838030548227081
2007-07-12,0.2709621975644616,23.92850856442703,3.0864273522643204,1.7579802484941842
2007-07-13,0.845605354228729,25.6432341531146,3.2647806096056664,1.1702067832988439
2007-07-14,0.845605354228729,25.6432341531146,3.2647806096056664,1.1702067832988439
2007-07-15,0.845605354228729,25.6432341531146,3.2647806096056664,1.1702067832988439
2007-07-16,-0.8433712623331702,27.45217998915792,3.173928675830129,1.0934308885286348
2007-07-17,-1.0024539143459799,28.127876364769456,3.0178122217369374,0.928980502223753
2007-07-18,-1.0991661745473391,28.056586433928633,3.3425966707607335,1.6974381676899242
2007-07-19,-0.3925425468228827,27.93523295272109,3.9898001723320586,1.9293953633954253
2007-07-20,-3.2274355663339582,24.731758774085666,3.729786002532176,2.1254524346262627
2007-07-21,-3.2274355663339582,24.731758774085666,3.729786002532176,2.1254524346262627
2007-07-22,-3.2274355663339582,24.731758774085666,3.729786002532176,2.1254524346262627
2007-07-23,-3.734846903193423,26.264967321640874,3.190039275568246,2.3952872347786647
2007-07-24,-5.079621665908752,25.046782158689695,3.8237886486549355,3.6218375898523836
2007-07-25,-6.198062978595975,22.683369180663583,4.22036474852725,4.682502311219694
2007-07-26,-9.40154619799326,19.37499967502603,4.512106585252318,6.198680761801045
2007-07-27,-10.35570797048595,16.81197978248794,4.323857144317977,7.764415642891597
2007-07-28,-10.35570797048595,16.81197978248794,4.323857144317977,7.764415642891597
2007-07-29,-10.35570797048595,16.81197978248794,4.323857144317977,7.764415642891597
2007-07-30,-6.784697654123006,18.843414536976177,4.188690644224424,6.879900679861239
2007-07-31,-7.962565107661956,16.194628462362417,4.395709629674127,6.574484373597899
2007-08-01,-8.111622811902453,16.889226407765513,4.005430614785599,6.732404704385154
2007-08-02,-6.403419513005315,18.49163478988696,3.8786645522150387,6.209387360352969
2007-08-03,-9.54277582421874,14.689550186216183,3.96190039131159,6.325079338696316
2007-08-04,-9.54277582421874,14.689550186216183,3.96190039131159,6.325079338696316
2007-08-05,-9.54277582421874,14.689550186216183,3.96190039131159,6.325079338696316
2007-08-06,-9.41420166309921,16.36481641180041,3.3292408628884163,6.518946268404157
2007-08-07,-7.1502708300005935,17.29653503305173,2.6437313970494314,5.923988653612144
2007-08-08,-7.262713638919727,19.46212526032809,2.2930047741956283,4.560836009688596
2007-08-09,-8.029141251371374,16.7558294225612,2.460354250267094,5.000717990104453
2007-08-10,-8.653753111326367,17.08531981915531,2.1936371906398744,5.247340765491182
2007-08-11,-8.653753111326367,17.08531981915531,2.1936371906398744,5.247340765491182
2007-08-12,-8.653753111326367,17.08531981915531,2.1936371906398744,5.247340765491182
2007-08-13,-7.863791475420323,16.864155479984987,2.8188402549174763,4.54458136881607
2007-08-14,-10.36109239552242,15.185564002096763,3.1877573843786644,5.2148059649204885
2007-08-15,-11.784569797493937,13.438184846536828,3.434102180535792,4.936520197329097
2007-08-16,-12.278023811621974,12.72885893329696,3.302040937089745,5.034666350104056
2007-08-17,-10.622095332876057,13.6711890514841,3.4474383200967518,4.099719153151393
2007-08-18,-10.622095332876057,13.6711890514841,3.4474383200967518,4.099719153151393
2007-08-19,-10.622095332876057,13.6711890514841,3.4474383200967518,4.099719153151393
2007-08-20,-10.079613974383816,13.65216747321265,3.560154872480825,5.1031010088676165
2007-08-21,-9.755742861119653,13.218114303459206,3.5618146078217894,5.602163122053783
2007-08-22,-9.62895303290814,15.235668914574108,3.0609164495249974,4.799988798572619
2007-08-23,-9.510358253789253,15.01759176041848,2.9599810342593402,4.250074131292658
2007-08-24,-7.707701094216679,16.929256405772097,3.2453792662103353,4.14561691657076
2007-08-25,-7.707701094216679,16.929256405772097,3.2453792662103353,4.14561691657076
2007-08-26,-7.707701094216679,16.929256405772097,3.2453792662103353,4.14561691657076
2007-08-27,-9.457573103177419,15.720104836041227,3.551851705075526,3.138003629947028
2007-08-28,-13.172441270101686,13.302704959905709,3.624679893499705,3.6941164502676593
2007-08-29,-11.330555583891734,14.890172369564535,3.5104341962594043,3.153901167887241
2007-08-30,-13.670785780428451,14.367072014571125,3.9315378363776743,2.9386743207262533
2007-08-31,-12.941922490616975,15.246059445560277,3.798233243005966,2.1460665095173304
2007-09-01,-12.941922490616975,15.246059445560277,3.798233243005966,2.1460665095173304
2007-09-02,-12.941922490616975,15.246059445560277,3.798233243005966,2.1460665095173304
2007-09-03,-12.941922490616975,15.246059445560277,3.798233243005966,2.1460665095173304
2007-09-04,-11.622570095356155,16.604052355874988,3.6556776764658183,1.3245285003215312
2007-09-05,-12.063248856679376,14.911440609058069,4.178103235229158,1.1633898401516185
2007-09-06,-9.963659122341205,15.025923096604688,4.396475150591317,0.7582305579603266
2007-09-07,-13.816242630274534,14.584407251494035,5.647111404026139,1.626131251130991
2007-09-08,-13.816242630274534,14.584407251494035,5.647111404026139,1.626131251130991
2007-09-09,-13.816242630274534,14.584407251494035,5.647111404026139,1.626131251130991
2007-09-10,-14.715436906639223,14.521340330758958,6.208814585546207,0.996314107945806
2007-09-11,-11.590660075677462,15.786392793623305,6.272378691314517,-0.3289495125001318
2007-09-12,-13.469439888138968,16.14622205602987,6.506951684613926,-0.6071078007618302
2007-09-13,-12.942666046583485,15.271955606817333,5.745459784994522,-0.175591136896891
2007-09-14,-11.790084587089734,14.764431709212467,5.689664350697954,-1.1385781620687707
2007-09-15,-11.790084587089734,14.764431709212467,5.689664350697954,-1.1385781620687707
